date,nav
03-07-2007,10.4111
02-07-2007,10.3874
29-06-2007,10.3667
28-06-2007,10.3595
27-06-2007,10.3486
26-06-2007,10.3518
25-06-2007,10.3538
22-06-2007,10.3502
21-06-2007,10.3489
20-06-2007,10.3475
19-06-2007,10.3473
18-06-2007,10.3424
15-06-2007,10.3376
14-06-2007,10.3359
13-06-2007,10.3344
12-06-2007,10.333
11-06-2007,10.332
08-06-2007,10.3287
07-06-2007,10.327
06-06-2007,10.3256
05-06-2007,10.3259
04-06-2007,10.3175
01-06-2007,10.3007
31-05-2007,10.2984
30-05-2007,10.2879
29-05-2007,10.2875
28-05-2007,10.2814
25-05-2007,10.2676
24-05-2007,10.2617
23-05-2007,10.2606
22-05-2007,10.2604
21-05-2007,10.2555
18-05-2007,10.2348
17-05-2007,10.2371
16-05-2007,10.2372
15-05-2007,10.235
14-05-2007,10.2329
11-05-2007,10.2265
10-05-2007,10.223
09-05-2007,10.2307
08-05-2007,10.2342
07-05-2007,10.231
04-05-2007,10.2239
03-05-2007,10.2234
30-04-2007,10.2204
27-04-2007,10.2145
26-04-2007,10.213
25-04-2007,10.2031
24-04-2007,10.2094
23-04-2007,10.1917
20-04-2007,10.1941
19-04-2007,10.1917
18-04-2007,10.1896
17-04-2007,10.185
16-04-2007,10.1842
13-04-2007,10.1783
12-04-2007,10.169
11-04-2007,10.175
10-04-2007,10.1729
09-04-2007,10.1707
05-04-2007,10.1619
04-04-2007,10.1523
03-04-2007,10.1471
30-03-2007,10.1449
29-03-2007,10.3411
28-03-2007,10.336
26-03-2007,10.335
23-03-2007,10.3288
22-03-2007,10.3268
21-03-2007,10.3194
20-03-2007,10.3224
16-03-2007,10.3141
15-03-2007,10.3121
14-03-2007,10.3134
13-03-2007,10.3162
12-03-2007,10.3143
09-03-2007,10.3089
08-03-2007,10.307
07-03-2007,10.3051
06-03-2007,10.3034
05-03-2007,10.3017
02-03-2007,10.2963
01-03-2007,10.301
28-02-2007,10.2953
27-02-2007,10.3037
26-02-2007,10.3083
23-02-2007,10.3089
22-02-2007,10.3073
21-02-2007,10.3057
20-02-2007,10.3082
19-02-2007,10.3128
15-02-2007,10.3157
14-02-2007,10.3145
13-02-2007,10.3131
12-02-2007,10.3243
09-02-2007,10.3302
08-02-2007,10.3367
07-02-2007,10.3479
06-02-2007,10.3487
05-02-2007,10.3572
02-02-2007,10.3525
31-01-2007,10.3425
29-01-2007,10.3255
25-01-2007,10.3206
24-01-2007,10.3193
23-01-2007,10.3166
22-01-2007,10.317
19-01-2007,10.3117
18-01-2007,10.31
17-01-2007,10.3082
16-01-2007,10.3109
15-01-2007,10.3131
12-01-2007,10.3079
11-01-2007,10.3253
10-01-2007,10.3236
09-01-2007,10.3261
08-01-2007,10.3172
05-01-2007,10.3064
04-01-2007,10.3013
03-01-2007,10.3173
02-01-2007,10.3175
29-12-2006,10.2934
28-12-2006,10.2946
27-12-2006,10.3033
26-12-2006,10.3013
22-12-2006,10.3017
21-12-2006,10.3014
20-12-2006,10.3007
19-12-2006,10.3033
18-12-2006,10.301
15-12-2006,10.2864
14-12-2006,10.2768
13-12-2006,10.2842
12-12-2006,10.2845
11-12-2006,10.3107
08-12-2006,10.3467
07-12-2006,10.3432
06-12-2006,10.3436
05-12-2006,10.3428
04-12-2006,10.3406
01-12-2006,10.3231
30-11-2006,10.3274
29-11-2006,10.3316
28-11-2006,10.3335
27-11-2006,10.3304
24-11-2006,10.307
23-11-2006,10.3079
22-11-2006,10.3059
21-11-2006,10.301
20-11-2006,10.2958
17-11-2006,10.2803
16-11-2006,10.2693
15-11-2006,10.272
14-11-2006,10.272
13-11-2006,10.2655
10-11-2006,10.2556
09-11-2006,10.2537
08-11-2006,10.248
07-11-2006,10.233
06-11-2006,10.2259
03-11-2006,10.2206
02-11-2006,10.2265
01-11-2006,10.2221
31-10-2006,10.2164
30-10-2006,10.2174
27-10-2006,10.2132
26-10-2006,10.21
23-10-2006,10.2051
20-10-2006,10.2003
19-10-2006,10.1986
18-10-2006,10.197
17-10-2006,10.1957
16-10-2006,10.1943
13-10-2006,10.1894
12-10-2006,10.182
11-10-2006,10.1846
10-10-2006,10.1855
09-10-2006,10.1789
06-10-2006,10.178
05-10-2006,10.1768
04-10-2006,10.1729
03-10-2006,10.1681
29-09-2006,10.1661
28-09-2006,10.3675
27-09-2006,10.372
26-09-2006,10.3718
25-09-2006,10.3604
22-09-2006,10.355
21-09-2006,10.3562
20-09-2006,10.357
19-09-2006,10.3456
18-09-2006,10.3383
15-09-2006,10.3253
14-09-2006,10.3281
13-09-2006,10.3359
12-09-2006,10.3308
11-09-2006,10.3383
08-09-2006,10.3377
07-09-2006,10.3273
06-09-2006,10.3255
05-09-2006,10.3267
04-09-2006,10.3297
01-09-2006,10.2971
31-08-2006,10.2933
30-08-2006,10.2917
29-08-2006,10.289
28-08-2006,10.2891
25-08-2006,10.2835
24-08-2006,10.2848
23-08-2006,10.2833
22-08-2006,10.2817
21-08-2006,10.2806
18-08-2006,10.276
17-08-2006,10.2744
16-08-2006,10.2682
14-08-2006,10.2608
11-08-2006,10.256
10-08-2006,10.2579
09-08-2006,10.2538
08-08-2006,10.2327
07-08-2006,10.2227
04-08-2006,10.2125
03-08-2006,10.2094
02-08-2006,10.2089
01-08-2006,10.2022
31-07-2006,10.2083
28-07-2006,10.2005
27-07-2006,10.2046
26-07-2006,10.1996
25-07-2006,10.2025
24-07-2006,10.201
21-07-2006,10.1929
20-07-2006,10.1869
19-07-2006,10.1854
18-07-2006,10.184
17-07-2006,10.1825
14-07-2006,10.1781
13-07-2006,10.1766
12-07-2006,10.1752
11-07-2006,10.1737
10-07-2006,10.1724
07-07-2006,10.168
06-07-2006,10.1665
05-07-2006,10.165
04-07-2006,10.1635
03-07-2006,10.1621
30-06-2006,10.1579
29-06-2006,10.1565
28-06-2006,10.1552
27-06-2006,10.1539
26-06-2006,10.1527
23-06-2006,10.1488
22-06-2006,10.1579
21-06-2006,10.1566
20-06-2006,10.1553
19-06-2006,10.154
16-06-2006,10.1555
15-06-2006,10.1541
14-06-2006,10.1527
13-06-2006,10.1514
12-06-2006,10.15
09-06-2006,10.1456
08-06-2006,10.1475
07-06-2006,10.1464
06-06-2006,10.1453
05-06-2006,10.1365
02-06-2006,10.1449
01-06-2006,10.1438
31-05-2006,10.1431
30-05-2006,10.1416
29-05-2006,10.1405
26-05-2006,10.1371
25-05-2006,10.1359
24-05-2006,10.1348
23-05-2006,10.1336
22-05-2006,10.1324
19-05-2006,10.1288
18-05-2006,10.1258
17-05-2006,10.1304
16-05-2006,10.1321
15-05-2006,10.1309
12-05-2006,10.1274
11-05-2006,10.1262
10-05-2006,10.1279
09-05-2006,10.1271
08-05-2006,10.1236
05-05-2006,10.1202
04-05-2006,10.1167
03-05-2006,10.1206
02-05-2006,10.1194
28-04-2006,10.1147
27-04-2006,10.1136
26-04-2006,10.1124
25-04-2006,10.1112
24-04-2006,10.1102
21-04-2006,10.1072
20-04-2006,10.1061
19-04-2006,10.1006
18-04-2006,10.099
17-04-2006,10.0971
13-04-2006,10.0941
12-04-2006,10.0924
10-04-2006,10.0906
07-04-2006,10.0856
05-04-2006,10.0836
04-04-2006,10.0796
03-04-2006,10.0774
